reason,source_doc,reference_page,raw_office,payee,description,amount,detail
duplicate_rows_advisory,112sdoc10,1331,SENATOR CARL LEVIN,,STAFF ASSISTANT,"18,088.96",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1331,SENATOR CARL LEVIN,,LEGISLATIVE CORRESPONDENT,"19,612.96",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1352,SENATOR RICHARD G. LUGAR,,INTERN FROM JUN. 12 TO JUN. 30,633.33,appears 13x on same page
duplicate_rows_advisory,112sdoc10,1352,SENATOR RICHARD G. LUGAR,,INTERN FROM JUN. 5 TO AUG. 11,"2,233.32",appears 3x on same page
duplicate_rows_advisory,112sdoc10,1352,SENATOR RICHARD G. LUGAR,,INTERN FROM JUN. 13 TO JUN. 30,600.00,appears 3x on same page
duplicate_rows_advisory,112sdoc10,1375,SENATOR JOHN MCCAIN,,LEGISLATIVE ASSISTANT,"45,407.40",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1376,SENATOR JOHN MCCAIN,,INTERN FROM JUL. 9 TO AUG. 17,758.30,appears 2x on same page
duplicate_rows_advisory,112sdoc10,1376,SENATOR JOHN MCCAIN,,INTERN FROM SEP. 10,408.32,appears 2x on same page
duplicate_rows_advisory,112sdoc10,1382,SENATOR CLAIRE MCCASKILL,,REGIONAL DIRECTOR,"30,000.00",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1383,SENATOR CLAIRE MCCASKILL,,CONSTITUENT SERVICES REPRESENTATIVE,"16,575.00",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1402,"SENATOR A. MITCHELL MCCONNELL, JR.",,LEGISLATIVE CORRESPONDENT,"16,249.92",appears 3x on same page
duplicate_rows_advisory,112sdoc10,1402,"SENATOR A. MITCHELL MCCONNELL, JR.",,INTERN FROM JUN. 25 TO AUG. 3,"1,895.81",appears 5x on same page
duplicate_rows_advisory,112sdoc10,1402,"SENATOR A. MITCHELL MCCONNELL, JR.",,STAFF ASSISTANT TO APR. 15,"1,250.00",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1402,"SENATOR A. MITCHELL MCCONNELL, JR.",,INTERN FROM MAY. 14 TO JUN. 22,"1,895.81",appears 6x on same page
duplicate_rows_advisory,112sdoc10,1402,"SENATOR A. MITCHELL MCCONNELL, JR.",,INTERN FROM SEP. 11,777.77,appears 2x on same page
duplicate_rows_advisory,112sdoc10,1412,SENATOR ROBERT MENENDEZ,,LEGISLATIVE CORRESPONDENT,"15,999.96",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1412,SENATOR ROBERT MENENDEZ,,PROJECTS SPECIALIST,"15,000.00",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1412,SENATOR ROBERT MENENDEZ,,STAFF ASSISTANT,"15,000.00",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1422,SENATOR JEFF MERKLEY,,FIELD REPRESENTATIVE,"28,000.00",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1433,SENATOR BARBARA A. MIKULSKI,,CONSTITUENT SERVICE REPRESENTATIVE,"15,999.92",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1447,SENATOR JERRY MORAN,,DISTRICT REPRESENTATIVE,"25,999.92",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1447,SENATOR JERRY MORAN,,INTERN TO MAY. 31,"3,346.64",appears 4x on same page
duplicate_rows_advisory,112sdoc10,1447,SENATOR JERRY MORAN,,INTERN FROM MAY. 29 TO AUG. 9,"3,948.35",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1447,SENATOR JERRY MORAN,,INTERN FROM MAY. 29 TO JUN. 29,"1,723.92",appears 4x on same page
duplicate_rows_advisory,112sdoc10,1447,SENATOR JERRY MORAN,,INTERN FROM JUL. 9 TO AUG. 10,"1,784.87",appears 3x on same page
duplicate_rows_advisory,112sdoc10,1447,SENATOR JERRY MORAN,,INTERN FROM AUG. 15,"3,322.21",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1466,SENATOR LISA MURKOWSKI,,INTERN COORDINATOR FROM MAY. 29 TO AUG. 10,"5,639.99",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1467,SENATOR LISA MURKOWSKI,,LEGISLATIVE CORRESPONDENT,"15,679.92",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1467,SENATOR LISA MURKOWSKI,,INTERN TO MAY. 10,611.09,appears 2x on same page
duplicate_rows_advisory,112sdoc10,1467,SENATOR LISA MURKOWSKI,,INTERN FROM JUN. 4 TO JUN. 29,"2,750.00",appears 10x on same page
duplicate_rows_advisory,112sdoc10,1467,SENATOR LISA MURKOWSKI,,INTERN FROM JUL. 9 TO AUG. 4,"2,749.99",appears 9x on same page
duplicate_rows_advisory,112sdoc10,1479,SENATOR PATTY MURRAY,,LEGISLATIVE AIDE,"22,999.92",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1480,SENATOR PATTY MURRAY,,STAFF ASSISTANT,"19,500.00",appears 2x on same page
duplicate_rows_advisory,112sdoc10,1499,SENATOR BEN NELSON,,INTERN FROM MAY. 15 TO JUN. 22,"1,756.43",appears 5x on same page
duplicate_rows_advisory,112sdoc10,1499,SENATOR BEN NELSON,,INTERN FROM JUN. 26 TO AUG. 3,"1,756.42",appears 5x on same page
